,brand
Skoda,8605
Audi,8315
Ford,7859
Renault,5576
BMW,5519
Peugeot,5224
Hyundai,3875
Volvo,3792
Kia,3734
Citroën,3448
Seat,3214
Fiat,2915
Mazda,1994
Honda,1773
Volkswagen,1753
Opel,1545
MINI,1520
Suzuki,1310
Nissan,1123
Dacia,1013
Toyota,956
Mercedes-Benz,829
Alfa Romeo,683
Mitsubishi,579
Chevrolet,578
Subaru,401
Smart,179
Lexus,168
Saab,151
DS Automobiles,132
Lancia,127
Jaguar,96
Porsche,75
Chrysler,73
Jeep,67
Dodge,54
SsangYong,43
Cupra,32
Land Rover,28
Infiniti,27
Maserati,17
Bentley,11
Cadillac,11
Isuzu,1
RAM,1
